STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/27/2000,0.67,50,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/28/2000,0.2,53,56,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/29/2000,0,52,,43
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/30/2000,,54,64,45
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",1/31/2000,,55,63,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/1/2000,0.24,59,,47
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/2/2000,0,57,65,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/3/2000,,55,65,44
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/4/2000,,55,64,44
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/5/2000,,55,63,45
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/6/2000,,59,62,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/7/2000,,58,61,50
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/8/2000,,55,61,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/9/2000,,56,65,46
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/10/2000,,56,65,45
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/11/2000,,57,65,45
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/12/2000,,57,63,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/13/2000,,58,63,51
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/14/2000,,56,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/15/2000,,57,65,46
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/16/2000,0.08,59,62,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/17/2000,0,55,,43
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/18/2000,,56,70,44
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/19/2000,,59,63,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/20/2000,,57,65,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/21/2000,,55,67,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/22/2000,,57,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/23/2000,0,56,60,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/24/2000,0,54,,47
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/25/2000,,56,,44
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/26/2000,,58,61,55
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/27/2000,,59,63,51
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/28/2000,,58,63,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",2/29/2000,,57,68,43
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/1/2000,0.04,55,59,50
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/2/2000,0.08,58,64,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/3/2000,0,56,69,43
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/4/2000,0.01,60,65,50
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/5/2000,0,57,64,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/6/2000,,58,66,46
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/7/2000,,54,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/8/2000,,57,60,51
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/9/2000,,59,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/10/2000,,59,66,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/11/2000,,58,,48
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/12/2000,,59,65,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/13/2000,,58,66,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/14/2000,,60,66,50
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/15/2000,,60,66,52
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/16/2000,,58,67,47
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/17/2000,,59,72,45
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/18/2000,,60,65,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/19/2000,,57,,44
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/20/2000,,57,65,50
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/21/2000,0.04,55,58,53
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/22/2000,0.16,58,67,53
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/23/2000,0.03,56,62,47
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/24/2000,0.02,60,66,54
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/25/2000,0,60,65,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/26/2000,,59,66,47
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/27/2000,,59,68,47
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/28/2000,,61,,48
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/29/2000,,63,78,45
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/30/2000,,65,80,56
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",3/31/2000,,70,85,50
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/1/2000,,70,,62
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/2/2000,,64,69,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/3/2000,,66,78,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/4/2000,,65,81,48
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/5/2000,,70,87,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/6/2000,,66,74,61
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/7/2000,,65,,60
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/8/2000,,64,69,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/9/2000,,63,68,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/10/2000,,62,72,50
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/11/2000,,74,99,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/12/2000,,88,,65
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/13/2000,,65,70,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/14/2000,,64,69,60
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/15/2000,,66,73,61
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/16/2000,,70,84,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/17/2000,,71,,61
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/18/2000,,68,81,55
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/19/2000,,67,73,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/20/2000,,64,71,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/21/2000,,65,79,50
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/22/2000,,62,72,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/23/2000,,63,71,55
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/24/2000,,65,74,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/25/2000,,65,74,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/26/2000,,67,77,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/27/2000,,66,73,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/28/2000,,65,71,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/29/2000,,65,74,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",4/30/2000,,67,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/1/2000,,68,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/2/2000,,71,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/3/2000,,75,90,64
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/4/2000,,68,73,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/5/2000,0.16,65,70,58
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/6/2000,0,66,70,62
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/7/2000,,66,70,61
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/8/2000,,67,72,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/9/2000,,69,76,62
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/10/2000,,71,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/11/2000,,71,77,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/12/2000,,71,,65
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/13/2000,,72,81,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/14/2000,,72,78,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/15/2000,,72,79,68
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/16/2000,,73,82,61
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/17/2000,,76,98,65
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/18/2000,,72,77,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/19/2000,,70,,60
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/20/2000,,72,82,59
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/21/2000,,73,85,60
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/22/2000,,72,80,60
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/23/2000,,72,79,61
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/24/2000,,77,88,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/25/2000,,73,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/26/2000,,71,76,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/27/2000,,74,81,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/28/2000,,73,81,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/29/2000,,80,93,65
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/30/2000,,80,90,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",5/31/2000,,76,80,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/1/2000,,75,80,69
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/2/2000,,74,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/3/2000,,72,78,70
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/4/2000,,74,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/5/2000,,73,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/6/2000,,72,78,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/7/2000,,73,,61
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/8/2000,,76,,69
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/9/2000,,77,82,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/10/2000,,78,84,72
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/11/2000,,78,87,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/12/2000,,76,81,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/13/2000,,79,87,72
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/14/2000,,78,85,69
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/15/2000,,79,,72
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/16/2000,,79,86,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/17/2000,,80,87,71
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/18/2000,,78,,72
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/19/2000,,75,79,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/20/2000,,76,81,72
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/21/2000,,76,82,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/22/2000,,75,81,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/23/2000,,76,,71
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/24/2000,,78,83,73
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/25/2000,,78,83,73
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/26/2000,,78,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/27/2000,,77,81,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/28/2000,,77,82,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/29/2000,,77,81,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",6/30/2000,,76,82,72
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/1/2000,,78,83,66
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/2/2000,,78,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/3/2000,,78,82,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/4/2000,,79,,74
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/5/2000,,81,87,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/6/2000,,80,86,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/7/2000,,81,91,71
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/8/2000,,81,90,76
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/9/2000,,81,89,74
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/10/2000,,80,87,70
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/11/2000,,80,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/12/2000,,80,86,76
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/13/2000,,84,92,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/14/2000,,81,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/15/2000,,80,84,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/16/2000,,79,85,75
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/17/2000,,80,85,75
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/18/2000,,80,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/19/2000,,81,87,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/20/2000,,81,89,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/21/2000,,81,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/22/2000,,80,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/23/2000,,79,83,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/24/2000,,79,,75
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/25/2000,,80,86,75
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/26/2000,,81,86,76
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/27/2000,,82,90,72
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/28/2000,,83,98,69
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/29/2000,,86,103,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/30/2000,,85,,72
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",7/31/2000,,83,90,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/1/2000,,81,86,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/2/2000,,81,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/3/2000,,82,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/4/2000,,80,85,75
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/5/2000,,80,86,76
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/6/2000,,80,86,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/7/2000,,80,85,76
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/8/2000,,80,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/9/2000,,80,,76
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/10/2000,,80,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/11/2000,,81,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/12/2000,,80,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/13/2000,,81,86,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/14/2000,,82,87,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/15/2000,,81,86,76
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/16/2000,,80,86,69
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/17/2000,,81,86,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/18/2000,,81,86,77
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/19/2000,,80,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/20/2000,,81,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/21/2000,,81,87,77
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/22/2000,,81,88,73
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/23/2000,,80,89,70
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/24/2000,,81,89,71
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/25/2000,,82,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/26/2000,,80,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/27/2000,,82,88,77
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/28/2000,,81,86,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/29/2000,,81,86,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/30/2000,,81,92,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",8/31/2000,,80,85,76
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/1/2000,,80,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/2/2000,,79,88,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/3/2000,,78,87,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/4/2000,,80,87,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/5/2000,,79,87,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/6/2000,,81,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/7/2000,,80,83,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/8/2000,,78,83,65
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/9/2000,,78,85,70
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/10/2000,,80,86,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/11/2000,,81,87,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/12/2000,,80,,69
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/13/2000,,80,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/14/2000,,78,85,69
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/15/2000,,79,85,74
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/16/2000,,78,82,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/17/2000,,79,83,74
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/18/2000,,79,85,75
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/19/2000,,79,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/20/2000,,80,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/21/2000,,80,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/22/2000,,79,89,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/23/2000,,79,88,68
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/24/2000,,79,85,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/25/2000,,79,83,75
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/26/2000,,78,83,74
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/27/2000,,76,81,73
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/28/2000,,74,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/29/2000,,75,80,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",9/30/2000,,73,,62
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/1/2000,,74,79,67
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/2/2000,,74,81,62
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/3/2000,,75,88,62
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/4/2000,,77,83,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/5/2000,,77,,68
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/6/2000,,77,83,66
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/7/2000,,75,86,64
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/8/2000,,76,89,64
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/9/2000,,78,,71
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/10/2000,,76,86,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/11/2000,,74,81,64
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/12/2000,,73,82,63
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/13/2000,,75,,67
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/14/2000,,77,81,73
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/15/2000,,77,82,73
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/16/2000,,77,82,72
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/17/2000,,75,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/18/2000,,73,80,62
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/19/2000,,75,80,68
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/20/2000,,74,79,71
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/21/2000,,72,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/22/2000,,71,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/23/2000,,69,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/24/2000,0.28,62,68,59
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/25/2000,1.46,67,72,57
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/26/2000,0,68,72,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/27/2000,,66,,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/28/2000,,66,,55
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/29/2000,,67,,55
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/30/2000,,68,77,59
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",10/31/2000,,71,75,67
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/1/2000,,71,76,63
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/2/2000,,69,76,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/3/2000,,68,77,58
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/4/2000,,69,79,58
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/5/2000,,69,78,57
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/6/2000,,68,76,56
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/7/2000,,67,75,57
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/8/2000,,71,76,65
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/9/2000,,71,78,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/10/2000,,72,79,66
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/11/2000,,72,81,59
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/12/2000,,72,77,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/13/2000,,71,76,
EGM00062318,"ALEXANDRIA INTERNATIONAL, EG",11/14/2000,,70,,66
